Cord hardness id: 0-1 rubbing,,,,
current_force, target_force, pressed_depth(mm), finger_height(mm), finger_init_height(mm)
30.826029,30,26.160156,26.160156,0
30.713732,30,26.160156,26.160156,0
29.819515,30,26.160156,26.160156,0
28.815458,30,26.264843,26.264843,0
28.353224,30,26.714062,26.714062,0
28.702433,30,26.937109,26.937109,0
29.192123,30,26.929688,26.929688,0
29.349953,30,26.929688,26.929688,0
29.853249,30,26.929688,26.929688,0
30.610386,30,26.926172,26.926172,0
31.66762,30,26.646875,26.646875,0
31.942556,30,26.223047,26.223047,0
31.942556,30,26.223047,26.223047,0
31.235674,30,26.16328,26.16328,0
31.009983,30,26.16328,26.16328,0
30.702959,30,26.16328,26.16328,0
30.79022,30,26.16328,26.16328,0
30.991228,30,26.16328,26.16328,0
31.010447,30,26.16328,26.16328,0
30.977264,30,26.16328,26.16328,0
30.202496,30,26.16328,26.16328,0
29.260283,30,26.166016,26.166016,0
28.387699,30,26.505468,26.505468,0
28.531698,30,26.846094,26.846094,0
29.072872,30,26.897266,26.897266,0
29.184692,30,26.897266,26.897266,0
29.459394,30,26.897266,26.897266,0
30.125198,30,26.896875,26.896875,0
31.092487,30,26.896484,26.896484,0
31.092487,30,26.896484,26.896484,0
32.041256,30,26.519531,26.519531,0
31.811947,30,26.190624,26.190624,0
31.16363,30,26.17461,26.17461,0
30.775829,30,26.17461,26.17461,0
30.81889,30,26.17461,26.17461,0
31.010057,30,26.17461,26.17461,0
31.112907,30,26.17461,26.17461,0
31.285753,30,26.17461,26.17461,0
30.644938,30,26.17461,26.17461,0
29.828259,30,26.17461,26.17461,0
28.703648,30,26.331249,26.331249,0
28.438375,30,26.757812,26.757812,0
28.991177,30,26.833984,26.833984,0
28.981384,30,26.83672,26.83672,0
29.135782,30,26.833202,26.833202,0
29.694521,30,26.833202,26.833202,0
29.694521,30,26.833202,26.833202,0
30.515995,30,26.833202,26.833202,0
31.470089,30,26.75625,26.75625,0
32.117588,30,26.369141,26.369141,0
31.428619,30,26.198437,26.198437,0
30.940319,30,26.198437,26.198437,0
30.839405,30,26.198437,26.198437,0
31.205549,30,26.182812,26.182812,0
31.155334,30,26.104298,26.104298,0
30.932369,30,26.104298,26.104298,0
30.465864,30,26.104298,26.104298,0
29.638643,30,26.104298,26.104298,0
28.995237,30,26.112499,26.112499,0
28.087263,30,26.560156,26.560156,0
28.589787,30,26.745703,26.745703,0
28.570614,30,26.779297,26.779297,0
28.781273,30,26.953907,26.953907,0
28.781273,30,26.953907,26.953907,0
29.435812,30,26.932812,26.932812,0
30.180914,30,26.932812,26.932812,0
31.316681,30,26.9125,26.9125,0
32.059063,30,26.572266,26.572266,0
31.739679,30,26.21875,26.21875,0
31.206255,30,26.220703,26.220703,0
30.900822,30,26.220703,26.220703,0
31.247427,30,26.214844,26.214844,0
31.124222,30,26.134375,26.134375,0
30.996115,30,26.134375,26.134375,0
30.647087,30,26.134375,26.134375,0
29.971256,30,26.134375,26.134375,0
29.318727,30,26.134766,26.134766,0
28.385897,30,26.470703,26.470703,0
28.446899,30,26.841406,26.841406,0
28.780258,30,26.930079,26.930079,0
28.780258,30,26.930079,26.930079,0
29.068476,30,26.930079,26.930079,0
29.612354,30,26.929688,26.929688,0
30.216566,30,26.929688,26.929688,0
31.090677,30,26.929688,26.929688,0
31.932079,30,26.653515,26.653515,0
32.006321,30,26.240625,26.240625,0
31.346298,30,26.210546,26.210546,0
30.897045,30,26.210546,26.210546,0
31.106464,30,26.210546,26.210546,0
31.167669,30,26.210546,26.210546,0
31.267242,30,26.209375,26.209375,0
31.201019,30,26.204687,26.204687,0
30.746664,30,26.204687,26.204687,0
30.205273,30,26.207422,26.207422,0
29.138897,30,26.349609,26.349609,0
28.6476,30,26.748438,26.748438,0
28.6476,30,26.748438,26.748438,0
28.908672,30,26.928905,26.928905,0
29.090044,30,26.926172,26.926172,0
29.442635,30,26.926172,26.926172,0
29.94899,30,26.926172,26.926172,0
30.685791,30,26.925781,26.925781,0
31.605627,30,26.766796,26.766796,0
32.160229,30,26.323048,26.323048,0
31.586685,30,26.170704,26.170704,0
31.029703,30,26.170704,26.170704,0
30.835529,30,26.170704,26.170704,0
30.937334,30,26.170704,26.170704,0
31.119427,30,26.170704,26.170704,0
31.160236,30,26.170704,26.170704,0
30.827139,30,26.170704,26.170704,0
30.324209,30,26.170313,26.170313,0
30.324209,30,26.170313,26.170313,0
29.447212,30,26.170704,26.170704,0
28.444941,30,26.510548,26.510548,0
